ICD10;Tekst
W8n3g;"Ulykke el/ionis strål/trykk;barneh/lekepl;Politi/fengsel"
W8n3h;"Ulykke el/ionis strål/trykk;barneh/lekepl;Annen næring"
W8n3i;"Ulykke el/ionis strål/trykk;barneh/lekepl;Ukj/ikke spes næri"
W8n3j;"Ulykke el/ionis strål/trykk;barneh/lekepl;Utdann"
W8n3k;"Ulykke el/ionis strål/trykk;barneh/lekepl;Verneplikt"
W8n3m;"Ulykke el/ionis strål/trykk;barneh/lekepl;Idrett v/utd/verne"
W8n3p;"Ulykke el/ionis strål/trykk;barneh/lekepl;Annen idrett"
W8n3r;"Ulykke el/ionis strål/trykk;barneh/lekepl;Annen aktivitet"
W8n3y;"Ulykke el/ionis strål/trykk;barneh/lekepl;Ukjent aktivitet"
W8n4a;"Ulykke el/ionis strål/trykk;skole m.v;Industri"
W8n4b;"Ulykke el/ionis strål/trykk;skole m.v;Bygg/anl"
W8n4c;"Ulykke el/ionis strål/trykk;skole m.v;Olje/gassutv"
W8n4d;"Ulykke el/ionis strål/trykk;skole m.v;Jord/skogbr"
W8n4e;"Ulykke el/ionis strål/trykk;skole m.v;Fiske/fangst"
W8n4f;"Ulykke el/ionis strål/trykk;skole m.v;Forsvar"
W8n4g;"Ulykke el/ionis strål/trykk;skole m.v;Politi/fengsel"
W8n4h;"Ulykke el/ionis strål/trykk;skole m.v;Annen næring"
W8n4i;"Ulykke el/ionis strål/trykk;skole m.v;Ukj/ikke spes næring"
W8n4j;"Ulykke el/ionis strål/trykk;skole m.v;Utdann"
W8n4k;"Ulykke el/ionis strål/trykk;skole m.v;Verneplikt"
W8n4m;"Ulykke el/ionis strål/trykk;skole m.v;Idrett v/utd/vernepl"
W8n4p;"Ulykke el/ionis strål/trykk;skole m.v;Annen idrett"
W8n4r;"Ulykke el/ionis strål/trykk;skole m.v;Annen aktivitet"
W8n4y;"Ulykke el/ionis strål/trykk;skole m.v;Ukjent aktivitet"
W8n5a;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Industri"
W8n5b;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Bygg/anl"
W8n5c;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Olje/gassutv"
W8n5d;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Jord/skogbr"
W8n5e;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Fiske/fangst"
W8n5f;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Forsvar"
W8n5g;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Politi/fengsel"
W8n5h;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Annen næring"
W8n5i;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Ukj/ikke spes nær"
W8n5j;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Utdann"
W8n5k;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Verneplikt"
W8n5m;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Idrett v/utd/vern"
W8n5p;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Annen idrett"
W8n5r;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Annen aktivitet"
W8n5y;"Ulykke el/ionis strål/trykk;h-inst/sykehus;Ukjent aktivitet"
W8n6a;"Ulykke el/ionis strål/trykk;syke/aldershjem;Industri"
W8n6b;"Ulykke el/ionis strål/trykk;syke/aldershjem;Bygg/anl"
W8n6c;"Ulykke el/ionis strål/trykk;syke/aldershjem;Olje/gassutv"
W8n6d;"Ulykke el/ionis strål/trykk;syke/aldershjem;Jord/skogbr"
W8n6e;"Ulykke el/ionis strål/trykk;syke/aldershjem;Fiske/fangst"
W8n6f;"Ulykke el/ionis strål/trykk;syke/aldershjem;Forsvar"
W8n6g;"Ulykke el/ionis strål/trykk;syke/aldershjem;Politi/fengsel"
W8n6h;"Ulykke el/ionis strål/trykk;syke/aldershjem;Annen næring"
W8n6i;"Ulykke el/ionis strål/trykk;syke/aldershjem;Ukj/ikke spes næ"
W8n6j;"Ulykke el/ionis strål/trykk;syke/aldershjem;Utdann"
W8n6k;"Ulykke el/ionis strål/trykk;syke/aldershjem;Verneplikt"
W8n6m;"Ulykke el/ionis strål/trykk;syke/aldershjem;Idrett v/utd/ver"
W8n6p;"Ulykke el/ionis strål/trykk;syke/aldershjem;Annen idrett"
W8n6r;"Ulykke el/ionis strål/trykk;syke/aldershjem;Annen aktivitet"
W8n6y;"Ulykke el/ionis strål/trykk;syke/aldershjem;Ukjent aktivitet"
W8n7a;"Ulykke el/ionis strål/trykk;idrettsanl;Industri"
W8n7b;"Ulykke el/ionis strål/trykk;idrettsanl;Bygg/anl"
W8n7c;"Ulykke el/ionis strål/trykk;idrettsanl;Olje/gassutv"
W8n7d;"Ulykke el/ionis strål/trykk;idrettsanl;Jord/skogbr"
W8n7e;"Ulykke el/ionis strål/trykk;idrettsanl;Fiske/fangst"
W8n7f;"Ulykke el/ionis strål/trykk;idrettsanl;Forsvar"
W8n7g;"Ulykke el/ionis strål/trykk;idrettsanl;Politi/fengsel"
W8n7h;"Ulykke el/ionis strål/trykk;idrettsanl;Annen næring"
W8n7i;"Ulykke el/ionis strål/trykk;idrettsanl;Ukj/ikke spes næring"
W8n7j;"Ulykke el/ionis strål/trykk;idrettsanl;Utdann"
W8n7k;"Ulykke el/ionis strål/trykk;idrettsanl;Verneplikt"
W8n7m;"Ulykke el/ionis strål/trykk;idrettsanl;Idrett v/utd/vernepl"
W8n7p;"Ulykke el/ionis strål/trykk;idrettsanl;Annen idrett"
W8n7r;"Ulykke el/ionis strål/trykk;idrettsanl;Annen aktivitet"
W8n7y;"Ulykke el/ionis strål/trykk;idrettsanl;Ukjent aktivitet"
W8n8a;"Ulykke el/ionis strål/trykk;friluftsliv;Industri"
W8n8b;"Ulykke el/ionis strål/trykk;friluftsliv;Bygg/anl"
W8n8c;"Ulykke el/ionis strål/trykk;friluftsliv;Olje/gassutv"
W8n8d;"Ulykke el/ionis strål/trykk;friluftsliv;Jord/skogbr"
W8n8e;"Ulykke el/ionis strål/trykk;friluftsliv;Fiske/fangst"
W8n8f;"Ulykke el/ionis strål/trykk;friluftsliv;Forsvar"
W8n8g;"Ulykke el/ionis strål/trykk;friluftsliv;Politi/fengsel"
W8n8h;"Ulykke el/ionis strål/trykk;friluftsliv;Annen næring"
W8n8i;"Ulykke el/ionis strål/trykk;friluftsliv;Ukj/ikke spes næring"
W8n8j;"Ulykke el/ionis strål/trykk;friluftsliv;Utdann"
W8n8k;"Ulykke el/ionis strål/trykk;friluftsliv;Verneplikt"
W8n8m;"Ulykke el/ionis strål/trykk;friluftsliv;Idrett v/utd/vernepl"
W8n8p;"Ulykke el/ionis strål/trykk;friluftsliv;Annen idrett"
W8n8r;"Ulykke el/ionis strål/trykk;friluftsliv;Annen aktivitet"
W8n8y;"Ulykke el/ionis strål/trykk;friluftsliv;Ukjent aktivitet"
W8n9a;"Ulykke el/ionis strål/trykk;annet sted;Industri"
W8n9b;"Ulykke el/ionis strål/trykk;annet sted;Bygg/anl"
W8n9c;"Ulykke el/ionis strål/trykk;annet sted;Olje/gassutv"
W8n9d;"Ulykke el/ionis strål/trykk;annet sted;Jord/skogbr"
W8n9e;"Ulykke el/ionis strål/trykk;annet sted;Fiske/fangst"
W8n9f;"Ulykke el/ionis strål/trykk;annet sted;Forsvar"
W8n9g;"Ulykke el/ionis strål/trykk;annet sted;Politi/fengsel"
W8n9h;"Ulykke el/ionis strål/trykk;annet sted;Annen næring"
W8n9i;"Ulykke el/ionis strål/trykk;annet sted;Ukj/ikke spes næring"
W8n9j;"Ulykke el/ionis strål/trykk;annet sted;Utdann"
W8n9k;"Ulykke el/ionis strål/trykk;annet sted;Verneplikt"
W8n9m;"Ulykke el/ionis strål/trykk;annet sted;Idrett v/utd/vernepl"
W8n9p;"Ulykke el/ionis strål/trykk;annet sted;Annen idrett"
W8n9r;"Ulykke el/ionis strål/trykk;annet sted;Annen aktivitet"
W8n9y;"Ulykke el/ionis strål/trykk;annet sted;Ukjent aktivitet"
W8nxa;"Ulykke el/ionis strål/trykk;ukjent sted;Industri"
W8nxb;"Ulykke el/ionis strål/trykk;ukjent sted;Bygg/anl"
W8nxc;"Ulykke el/ionis strål/trykk;ukjent sted;Olje/gassutv"
W8nxd;"Ulykke el/ionis strål/trykk;ukjent sted;Jord/skogbr"
W8nxe;"Ulykke el/ionis strål/trykk;ukjent sted;Fiske/fangst"
W8nxf;"Ulykke el/ionis strål/trykk;ukjent sted;Forsvar"
W8nxg;"Ulykke el/ionis strål/trykk;ukjent sted;Politi/fengsel"
W8nxh;"Ulykke el/ionis strål/trykk;ukjent sted;Annen næring"
W8nxi;"Ulykke el/ionis strål/trykk;ukjent sted;Ukj/ikke spes næring"
W8nxj;"Ulykke el/ionis strål/trykk;ukjent sted;Utdann"
W8nxk;"Ulykke el/ionis strål/trykk;ukjent sted;Verneplikt"
W8nxm;"Ulykke el/ionis strål/trykk;ukjent sted;Idrett v/utd/vernepl"
W8nxp;"Ulykke el/ionis strål/trykk;ukjent sted;Annen idrett"
W8nxr;"Ulykke el/ionis strål/trykk;ukjent sted;Annen aktivitet"
W8nxy;"Ulykke el/ionis strål/trykk;ukjent sted;Ukjent aktivitet"
X0n0a;"Uly røyk/brann;bolig;Industri"
X0n0b;"Uly røyk/brann;bolig;Bygg/anl"
X0n0c;"Uly røyk/brann;bolig;Olje/gassutv"
X0n0d;"Uly røyk/brann;bolig;Jord/skogbr"
X0n0e;"Uly røyk/brann;bolig;Fiske/fangst"
X0n0f;"Uly røyk/brann;bolig;Forsvar"
X0n0g;"Uly røyk/brann;bolig;Politi/fengsel"
X0n0h;"Uly røyk/brann;bolig;Annen næring"
X0n0i;"Uly røyk/brann;bolig;Ukj/ikke spes næring"
X0n0j;"Uly røyk/brann;bolig;Utdann"
X0n0k;"Uly røyk/brann;bolig;Verneplikt"
X0n0m;"Uly røyk/brann;bolig;Idrett v/utd/vernepl"
X0n0p;"Uly røyk/brann;bolig;Annen idrett"
X0n0r;"Uly røyk/brann;bolig;Annen aktivitet"
X0n0y;"Uly røyk/brann;bolig;Ukjent aktivitet"
X0n1a;"Uly røyk/brann;veitrafikk;Industri"
X0n1b;"Uly røyk/brann;veitrafikk;Bygg/anl"
X0n1c;"Uly røyk/brann;veitrafikk;Olje/gassutv"
X0n1d;"Uly røyk/brann;veitrafikk;Jord/skogbr"
X0n1e;"Uly røyk/brann;veitrafikk;Fiske/fangst"
X0n1f;"Uly røyk/brann;veitrafikk;Forsvar"
X0n1g;"Uly røyk/brann;veitrafikk;Politi/fengsel"
X0n1h;"Uly røyk/brann;veitrafikk;Annen næring"
X0n1i;"Uly røyk/brann;veitrafikk;Ukj/ikke spes næring"
X0n1j;"Uly røyk/brann;veitrafikk;Utdann"
X0n1k;"Uly røyk/brann;veitrafikk;Verneplikt"
X0n1m;"Uly røyk/brann;veitrafikk;Idrett v/utd/vernepl"
X0n1p;"Uly røyk/brann;veitrafikk;Annen idrett"
X0n1r;"Uly røyk/brann;veitrafikk;Annen aktivitet"
X0n1y;"Uly røyk/brann;veitrafikk;Ukjent aktivitet"
X0n2a;"Uly røyk/brann;ann gt/vei;Industri"
X0n2b;"Uly røyk/brann;ann gt/vei;Bygg/anl"
X0n2c;"Uly røyk/brann;ann gt/vei;Olje/gassutv"
X0n2d;"Uly røyk/brann;ann gt/vei;Jord/skogbr"
X0n2e;"Uly røyk/brann;ann gt/vei;Fiske/fangst"
X0n2f;"Uly røyk/brann;ann gt/vei;Forsvar"
X0n2g;"Uly røyk/brann;ann gt/vei;Politi/fengsel"
X0n2h;"Uly røyk/brann;ann gt/vei;Annen næring"
X0n2i;"Uly røyk/brann;ann gt/vei;Ukj/ikke spes næring"
X0n2j;"Uly røyk/brann;ann gt/vei;Utdann"
X0n2k;"Uly røyk/brann;ann gt/vei;Verneplikt"
X0n2m;"Uly røyk/brann;ann gt/vei;Idrett v/utd/vernepl"
X0n2p;"Uly røyk/brann;ann gt/vei;Annen idrett"
X0n2r;"Uly røyk/brann;ann gt/vei;Annen aktivitet"
X0n2y;"Uly røyk/brann;ann gt/vei;Ukjent aktivitet"
X0n3a;"Uly røyk/brann;barneh/lekepl;Industri"
X0n3b;"Uly røyk/brann;barneh/lekepl;Bygg/anl"
X0n3c;"Uly røyk/brann;barneh/lekepl;Olje/gassutv"
X0n3d;"Uly røyk/brann;barneh/lekepl;Jord/skogbr"
X0n3e;"Uly røyk/brann;barneh/lekepl;Fiske/fangst"
X0n3f;"Uly røyk/brann;barneh/lekepl;Forsvar"
X0n3g;"Uly røyk/brann;barneh/lekepl;Politi/fengsel"
X0n3h;"Uly røyk/brann;barneh/lekepl;Annen næring"
X0n3i;"Uly røyk/brann;barneh/lekepl;Ukj/ikke spes næring"
X0n3j;"Uly røyk/brann;barneh/lekepl;Utdann"
X0n3k;"Uly røyk/brann;barneh/lekepl;Verneplikt"
X0n3m;"Uly røyk/brann;barneh/lekepl;Idrett v/utd/vernepl"
X0n3p;"Uly røyk/brann;barneh/lekepl;Annen idrett"
X0n3r;"Uly røyk/brann;barneh/lekepl;Annen aktivitet"
X0n3y;"Uly røyk/brann;barneh/lekepl;Ukjent aktivitet"
X0n4a;"Uly røyk/brann;skole m.v;Industri"
X0n4b;"Uly røyk/brann;skole m.v;Bygg/anl"
X0n4c;"Uly røyk/brann;skole m.v;Olje/gassutv"
X0n4d;"Uly røyk/brann;skole m.v;Jord/skogbr"
X0n4e;"Uly røyk/brann;skole m.v;Fiske/fangst"
X0n4f;"Uly røyk/brann;skole m.v;Forsvar"
X0n4g;"Uly røyk/brann;skole m.v;Politi/fengsel"
X0n4h;"Uly røyk/brann;skole m.v;Annen næring"
X0n4i;"Uly røyk/brann;skole m.v;Ukj/ikke spes næring"
X0n4j;"Uly røyk/brann;skole m.v;Utdann"
X0n4k;"Uly røyk/brann;skole m.v;Verneplikt"
X0n4m;"Uly røyk/brann;skole m.v;Idrett v/utd/vernepl"
X0n4p;"Uly røyk/brann;skole m.v;Annen idrett"
X0n4r;"Uly røyk/brann;skole m.v;Annen aktivitet"
X0n4y;"Uly røyk/brann;skole m.v;Ukjent aktivitet"
X0n5a;"Uly røyk/brann;h-inst/sykehus;Industri"
X0n5b;"Uly røyk/brann;h-inst/sykehus;Bygg/anl"
X0n5c;"Uly røyk/brann;h-inst/sykehus;Olje/gassutv"
X0n5d;"Uly røyk/brann;h-inst/sykehus;Jord/skogbr"
X0n5e;"Uly røyk/brann;h-inst/sykehus;Fiske/fangst"
X0n5f;"Uly røyk/brann;h-inst/sykehus;Forsvar"
X0n5g;"Uly røyk/brann;h-inst/sykehus;Politi/fengsel"
X0n5h;"Uly røyk/brann;h-inst/sykehus;Annen næring"
X0n5i;"Uly røyk/brann;h-inst/sykehus;Ukj/ikke spes næring"
X0n5j;"Uly røyk/brann;h-inst/sykehus;Utdann"
X0n5k;"Uly røyk/brann;h-inst/sykehus;Verneplikt"
X0n5m;"Uly røyk/brann;h-inst/sykehus;Idrett v/utd/vernepl"
X0n5p;"Uly røyk/brann;h-inst/sykehus;Annen idrett"
X0n5r;"Uly røyk/brann;h-inst/sykehus;Annen aktivitet"
X0n5y;"Uly røyk/brann;h-inst/sykehus;Ukjent aktivitet"
X0n6a;"Uly røyk/brann;syke/aldershjem;Industri"
X0n6b;"Uly røyk/brann;syke/aldershjem;Bygg/anl"
X0n6c;"Uly røyk/brann;syke/aldershjem;Olje/gassutv"
X0n6d;"Uly røyk/brann;syke/aldershjem;Jord/skogbr"
X0n6e;"Uly røyk/brann;syke/aldershjem;Fiske/fangst"
X0n6f;"Uly røyk/brann;syke/aldershjem;Forsvar"
X0n6g;"Uly røyk/brann;syke/aldershjem;Politi/fengsel"
X0n6h;"Uly røyk/brann;syke/aldershjem;Annen næring"
X0n6i;"Uly røyk/brann;syke/aldershjem;Ukj/ikke spes næring"
X0n6j;"Uly røyk/brann;syke/aldershjem;Utdann"
X0n6k;"Uly røyk/brann;syke/aldershjem;Verneplikt"
X0n6m;"Uly røyk/brann;syke/aldershjem;Idrett v/utd/vernepl"
X0n6p;"Uly røyk/brann;syke/aldershjem;Annen idrett"
X0n6r;"Uly røyk/brann;syke/aldershjem;Annen aktivitet"
X0n6y;"Uly røyk/brann;syke/aldershjem;Ukjent aktivitet"
X0n7a;"Uly røyk/brann;idrettsanl;Industri"
X0n7b;"Uly røyk/brann;idrettsanl;Bygg/anl"
X0n7c;"Uly røyk/brann;idrettsanl;Olje/gassutv"
X0n7d;"Uly røyk/brann;idrettsanl;Jord/skogbr"
X0n7e;"Uly røyk/brann;idrettsanl;Fiske/fangst"
X0n7f;"Uly røyk/brann;idrettsanl;Forsvar"
X0n7g;"Uly røyk/brann;idrettsanl;Politi/fengsel"
X0n7h;"Uly røyk/brann;idrettsanl;Annen næring"
X0n7i;"Uly røyk/brann;idrettsanl;Ukj/ikke spes næring"
X0n7j;"Uly røyk/brann;idrettsanl;Utdann"
X0n7k;"Uly røyk/brann;idrettsanl;Verneplikt"
X0n7m;"Uly røyk/brann;idrettsanl;Idrett v/utd/vernepl"
X0n7p;"Uly røyk/brann;idrettsanl;Annen idrett"
X0n7r;"Uly røyk/brann;idrettsanl;Annen aktivitet"
X0n7y;"Uly røyk/brann;idrettsanl;Ukjent aktivitet"
X0n8a;"Uly røyk/brann;friluftsliv;Industri"
X0n8b;"Uly røyk/brann;friluftsliv;Bygg/anl"
X0n8c;"Uly røyk/brann;friluftsliv;Olje/gassutv"
X0n8d;"Uly røyk/brann;friluftsliv;Jord/skogbr"
X0n8e;"Uly røyk/brann;friluftsliv;Fiske/fangst"
X0n8f;"Uly røyk/brann;friluftsliv;Forsvar"
X0n8g;"Uly røyk/brann;friluftsliv;Politi/fengsel"
X0n8h;"Uly røyk/brann;friluftsliv;Annen næring"
X0n8i;"Uly røyk/brann;friluftsliv;Ukj/ikke spes næring"
X0n8j;"Uly røyk/brann;friluftsliv;Utdann"
X0n8k;"Uly røyk/brann;friluftsliv;Verneplikt"
X0n8m;"Uly røyk/brann;friluftsliv;Idrett v/utd/vernepl"
X0n8p;"Uly røyk/brann;friluftsliv;Annen idrett"
X0n8r;"Uly røyk/brann;friluftsliv;Annen aktivitet"
X0n8y;"Uly røyk/brann;friluftsliv;Ukjent aktivitet"
X0n9a;"Uly røyk/brann;annet sted;Industri"
X0n9b;"Uly røyk/brann;annet sted;Bygg/anl"
X0n9c;"Uly røyk/brann;annet sted;Olje/gassutv"
X0n9d;"Uly røyk/brann;annet sted;Jord/skogbr"
X0n9e;"Uly røyk/brann;annet sted;Fiske/fangst"
X0n9f;"Uly røyk/brann;annet sted;Forsvar"
X0n9g;"Uly røyk/brann;annet sted;Politi/fengsel"
X0n9h;"Uly røyk/brann;annet sted;Annen næring"
X0n9i;"Uly røyk/brann;annet sted;Ukj/ikke spes næring"
X0n9j;"Uly røyk/brann;annet sted;Utdann"
X0n9k;"Uly røyk/brann;annet sted;Verneplikt"
X0n9m;"Uly røyk/brann;annet sted;Idrett v/utd/vernepl"
X0n9p;"Uly røyk/brann;annet sted;Annen idrett"
X0n9r;"Uly røyk/brann;annet sted;Annen aktivitet"
X0n9y;"Uly røyk/brann;annet sted;Ukjent aktivitet"
X0nxa;"Uly røyk/brann;ukjent sted;Industri"
X0nxb;"Uly røyk/brann;ukjent sted;Bygg/anl"
X0nxc;"Uly røyk/brann;ukjent sted;Olje/gassutv"
X0nxd;"Uly røyk/brann;ukjent sted;Jord/skogbr"
X0nxe;"Uly røyk/brann;ukjent sted;Fiske/fangst"
X0nxf;"Uly røyk/brann;ukjent sted;Forsvar"
X0nxg;"Uly røyk/brann;ukjent sted;Politi/fengsel"
X0nxh;"Uly røyk/brann;ukjent sted;Annen næring"
X0nxi;"Uly røyk/brann;ukjent sted;Ukj/ikke spes næring"
X0nxj;"Uly røyk/brann;ukjent sted;Utdann"
X0nxk;"Uly røyk/brann;ukjent sted;Verneplikt"
X0nxm;"Uly røyk/brann;ukjent sted;Idrett v/utd/vernepl"
X0nxp;"Uly røyk/brann;ukjent sted;Annen idrett"
X0nxr;"Uly røyk/brann;ukjent sted;Annen aktivitet"
X0nxy;"Uly røyk/brann;ukjent sted;Ukjent aktivitet"
X1n0a;"Uly m/varm væske mv;bolig;Industri"
X1n0b;"Uly m/varm væske mv;bolig;Bygg/anl"
X1n0c;"Uly m/varm væske mv;bolig;Olje/gassutv"
X1n0d;"Uly m/varm væske mv;bolig;Jord/skogbr"
X1n0e;"Uly m/varm væske mv;bolig;Fiske/fangst"
X1n0f;"Uly m/varm væske mv;bolig;Forsvar"
X1n0g;"Uly m/varm væske mv;bolig;Politi/fengsel"
X1n0h;"Uly m/varm væske mv;bolig;Annen næring"
X1n0i;"Uly m/varm væske mv;bolig;Ukj/ikke spes næring"
X1n0j;"Uly m/varm væske mv;bolig;Utdann"
X1n0k;"Uly m/varm væske mv;bolig;Verneplikt"
X1n0m;"Uly m/varm væske mv;bolig;Idrett v/utd/vernepl"
X1n0p;"Uly m/varm væske mv;bolig;Annen idrett"
X1n0r;"Uly m/varm væske mv;bolig;Annen aktivitet"
X1n0y;"Uly m/varm væske mv;bolig;Ukjent aktivitet"
X1n1a;"Uly m/varm væske mv;veitrafikk;Industri"
X1n1b;"Uly m/varm væske mv;veitrafikk;Bygg/anl"
X1n1c;"Uly m/varm væske mv;veitrafikk;Olje/gassutv"
X1n1d;"Uly m/varm væske mv;veitrafikk;Jord/skogbr"
X1n1e;"Uly m/varm væske mv;veitrafikk;Fiske/fangst"
X1n1f;"Uly m/varm væske mv;veitrafikk;Forsvar"
X1n1g;"Uly m/varm væske mv;veitrafikk;Politi/fengsel"
X1n1h;"Uly m/varm væske mv;veitrafikk;Annen næring"
X1n1i;"Uly m/varm væske mv;veitrafikk;Ukj/ikke spes næring"
X1n1j;"Uly m/varm væske mv;veitrafikk;Utdann"
X1n1k;"Uly m/varm væske mv;veitrafikk;Verneplikt"
X1n1m;"Uly m/varm væske mv;veitrafikk;Idrett v/utd/vernepl"
X1n1p;"Uly m/varm væske mv;veitrafikk;Annen idrett"
X1n1r;"Uly m/varm væske mv;veitrafikk;Annen aktivitet"
X1n1y;"Uly m/varm væske mv;veitrafikk;Ukjent aktivitet"
X1n2a;"Uly m/varm væske mv;ann gt/vei;Industri"
X1n2b;"Uly m/varm væske mv;ann gt/vei;Bygg/anl"
X1n2c;"Uly m/varm væske mv;ann gt/vei;Olje/gassutv"
X1n2d;"Uly m/varm væske mv;ann gt/vei;Jord/skogbr"
X1n2e;"Uly m/varm væske mv;ann gt/vei;Fiske/fangst"
X1n2f;"Uly m/varm væske mv;ann gt/vei;Forsvar"
X1n2g;"Uly m/varm væske mv;ann gt/vei;Politi/fengsel"
X1n2h;"Uly m/varm væske mv;ann gt/vei;Annen næring"
X1n2i;"Uly m/varm væske mv;ann gt/vei;Ukj/ikke spes næring"
X1n2j;"Uly m/varm væske mv;ann gt/vei;Utdann"
X1n2k;"Uly m/varm væske mv;ann gt/vei;Verneplikt"
X1n2m;"Uly m/varm væske mv;ann gt/vei;Idrett v/utd/vernepl"
X1n2p;"Uly m/varm væske mv;ann gt/vei;Annen idrett"
X1n2r;"Uly m/varm væske mv;ann gt/vei;Annen aktivitet"
X1n2y;"Uly m/varm væske mv;ann gt/vei;Ukjent aktivitet"
X1n3a;"Uly m/varm væske mv;barneh/lekepl;Industri"
X1n3b;"Uly m/varm væske mv;barneh/lekepl;Bygg/anl"
X1n3c;"Uly m/varm væske mv;barneh/lekepl;Olje/gassutv"
X1n3d;"Uly m/varm væske mv;barneh/lekepl;Jord/skogbr"
X1n3e;"Uly m/varm væske mv;barneh/lekepl;Fiske/fangst"
X1n3f;"Uly m/varm væske mv;barneh/lekepl;Forsvar"
X1n3g;"Uly m/varm væske mv;barneh/lekepl;Politi/fengsel"
X1n3h;"Uly m/varm væske mv;barneh/lekepl;Annen næring"
X1n3i;"Uly m/varm væske mv;barneh/lekepl;Ukj/ikke spes næring"
X1n3j;"Uly m/varm væske mv;barneh/lekepl;Utdann"
X1n3k;"Uly m/varm væske mv;barneh/lekepl;Verneplikt"
X1n3m;"Uly m/varm væske mv;barneh/lekepl;Idrett v/utd/vernepl"
X1n3p;"Uly m/varm væske mv;barneh/lekepl;Annen idrett"
X1n3r;"Uly m/varm væske mv;barneh/lekepl;Annen aktivitet"
X1n3y;"Uly m/varm væske mv;barneh/lekepl;Ukjent aktivitet"
X1n4a;"Uly m/varm væske mv;skole m.v;Industri"
X1n4b;"Uly m/varm væske mv;skole m.v;Bygg/anl"
X1n4c;"Uly m/varm væske mv;skole m.v;Olje/gassutv"
X1n4d;"Uly m/varm væske mv;skole m.v;Jord/skogbr"
X1n4e;"Uly m/varm væske mv;skole m.v;Fiske/fangst"
X1n4f;"Uly m/varm væske mv;skole m.v;Forsvar"
X1n4g;"Uly m/varm væske mv;skole m.v;Politi/fengsel"
X1n4h;"Uly m/varm væske mv;skole m.v;Annen næring"
X1n4i;"Uly m/varm væske mv;skole m.v;Ukj/ikke spes næring"
X1n4j;"Uly m/varm væske mv;skole m.v;Utdann"
X1n4k;"Uly m/varm væske mv;skole m.v;Verneplikt"
X1n4m;"Uly m/varm væske mv;skole m.v;Idrett v/utd/vernepl"
X1n4p;"Uly m/varm væske mv;skole m.v;Annen idrett"
X1n4r;"Uly m/varm væske mv;skole m.v;Annen aktivitet"
X1n4y;"Uly m/varm væske mv;skole m.v;Ukjent aktivitet"
X1n5a;"Uly m/varm væske mv;h-inst/sykehus;Industri"
X1n5b;"Uly m/varm væske mv;h-inst/sykehus;Bygg/anl"
X1n5c;"Uly m/varm væske mv;h-inst/sykehus;Olje/gassutv"
X1n5d;"Uly m/varm væske mv;h-inst/sykehus;Jord/skogbr"
X1n5e;"Uly m/varm væske mv;h-inst/sykehus;Fiske/fangst"
X1n5f;"Uly m/varm væske mv;h-inst/sykehus;Forsvar"
X1n5g;"Uly m/varm væske mv;h-inst/sykehus;Politi/fengsel"
X1n5h;"Uly m/varm væske mv;h-inst/sykehus;Annen næring"
X1n5i;"Uly m/varm væske mv;h-inst/sykehus;Ukj/ikke spes næring"
X1n5j;"Uly m/varm væske mv;h-inst/sykehus;Utdann"
X1n5k;"Uly m/varm væske mv;h-inst/sykehus;Verneplikt"
X1n5m;"Uly m/varm væske mv;h-inst/sykehus;Idrett v/utd/vernepl"
X1n5p;"Uly m/varm væske mv;h-inst/sykehus;Annen idrett"
X1n5r;"Uly m/varm væske mv;h-inst/sykehus;Annen aktivitet"
X1n5y;"Uly m/varm væske mv;h-inst/sykehus;Ukjent aktivitet"
X1n6a;"Uly m/varm væske mv;syke/aldershjem;Industri"
X1n6b;"Uly m/varm væske mv;syke/aldershjem;Bygg/anl"
X1n6c;"Uly m/varm væske mv;syke/aldershjem;Olje/gassutv"
X1n6d;"Uly m/varm væske mv;syke/aldershjem;Jord/skogbr"
X1n6e;"Uly m/varm væske mv;syke/aldershjem;Fiske/fangst"
X1n6f;"Uly m/varm væske mv;syke/aldershjem;Forsvar"
X1n6g;"Uly m/varm væske mv;syke/aldershjem;Politi/fengsel"
X1n6h;"Uly m/varm væske mv;syke/aldershjem;Annen næring"
X1n6i;"Uly m/varm væske mv;syke/aldershjem;Ukj/ikke spes næring"
X1n6j;"Uly m/varm væske mv;syke/aldershjem;Utdann"
X1n6k;"Uly m/varm væske mv;syke/aldershjem;Verneplikt"
X1n6m;"Uly m/varm væske mv;syke/aldershjem;Idrett v/utd/vernepl"
X1n6p;"Uly m/varm væske mv;syke/aldershjem;Annen idrett"
X1n6r;"Uly m/varm væske mv;syke/aldershjem;Annen aktivitet"
X1n6y;"Uly m/varm væske mv;syke/aldershjem;Ukjent aktivitet"
